T_mid,Uncertainty,Label,Reference,Epoch
2456514.4106,0.0001,Ground,2017A&A...604A.110A,0
2457584.32975,1.1e-05,K2,2017MNRAS.469.1622M,187
2457904.73315165,4.65414486825466e-05,HST-Ma,Ma et al. 2024,243
2457910.45465204,4.581268876791e-05,HST-Ma,Ma et al. 2024,244
2458579.86858,0.0004288,TESS-I&W,Ivshina & Winn 2022,361
2458591.3117,0.0003547,TESS-I&W,Ivshina & Winn 2022,363
2459958.747278212,1.7199039575643837e-05,JWST,This Work,602
2459964.4687633556,1.0968746209982784e-05,JWST,This Work,603
2460107.505857895,8.8308e-06,JWST,This Work,628
2460118.948893697,1.4799952623434365e-05,JWST,This Work,630
2460130.391915689,1.91293001989834e-05,JWST,This Work,632
